Berlin,베를린
Hamburg,함부르크
Köln,쾰른
Munich,뮌헨
Federal Republic of Germany,독일
Stuttgart,슈투트가르트
Frankfurt am Main,프랑크푸르트
Düsseldorf,뒤셀도르프
Essen,에센
Bremen,브레멘
Wiesbaden,비스바덴
Hannover,하노버
Erfurt,에르푸르트
Dresden,드레스덴
Leipzig,라이프치히
Kiel,킬
Mainz,마인츠
Magdeburg,마그데부르크
Saarbrücken,자르브뤼켄
Nürnberg,뉘른베르크
Worms,보름스
Witten,비텐
Bremerhaven,브레머하펜
Braunschweig,브라운슈바이크
Bonn,본
Bochum,보훔
Bielefeld,빌레펠트
Gera,게라
Gelsenkirchen,겔젠키르헨
Baden-Baden,바덴바덴
Augsburg,아우크스부르크
Schwerin,슈베린
Wetzlar,베츨라어
Solingen,졸링겐
Ulm,울름
Trier,트리어
Würzburg,뷔르츠부르크
Hamm,함
Heilbronn,하일브론
Heidelberg,하이델베르크
Chemnitz,켐니츠
Göttingen,괴팅겐
Fürth,퓌르트
Darmstadt,다름슈타트
Erlangen,에를랑겐
Duisburg,뒤스부르크
Dortmund,도르트문트
Koblenz,코블렌츠
Leverkusen,레버쿠젠
Kassel,카셀
Karlsruhe,카를스루에
Krefeld,크레펠트
Konstanz,콘스탄츠
Jena,예나
Mannheim,만하임
Ludwigshafen am Rhein,루트비히스하펜
Lübeck,뤼베크
Neuss,노이스
Salzgitter,잘츠기터
Rostock,로스토크
Oberhausen,오버하우젠
Paderborn,파더보른
Osnabrück,오스나브뤼크
Oldenburg,올덴부르크
Münster,뮌스터
Mönchengladbach,묀헨글라트바흐
Moers,뫼르스
Potsdam,포츠담
Pforzheim,포르츠하임
Regensburg,레겐스부르크
Zugspitze,추크슈피체 산
Aachen,아헨
Wolfsburg,볼프스부르크
Wilhelmshaven,빌헬름스하펜
Brandenburg,브란덴부르크 주
Brandenburg an der Havel,브란덴부르크안데어하펠
Bottrop,보트로프
Bayreuth,바이로이트
Bavaria,바이에른 자유주
Bamberg,밤베르크
Ahlen,알렌
Görlitz,괴를리츠
Gladbeck,글라트베크
Gießen,기센
Baden-Württemberg,바덴뷔르템베르크주
Speyer,슈파이어
Schleswig-Holstein,슐레스비히홀슈타인 주
Weimar,바이마르
Stralsund,슈트랄준트
Uetersen,위터젠
Tübingen,튀빙겐
Zwickau,츠비카우
Wuppertal,부퍼탈
Hameln,하멜른
Gütersloh,귀터슬로
Hildesheim,힐데스하임
Hessen,헤센 주
Herne,헤르네
Flensburg,플렌스부르크
Eschweiler,에슈바일러
Cottbus,콧부스
Greifswald,그라이프스발트
Garmisch-Partenkirchen,가르미슈파르텐키르헨
Fulda,풀다
Dessau,데사우
Eisenach,아이제나흐
Kaiserslautern,카이저슬라우테른
Landshut,란츠후트
Iserlohn,이절론
Lünen,뤼넨
Lüneburg,뤼네부르크
Lower Saxony,니더작센 주
Neumünster,노이뮌스터
Rheine,라이네
Reutlingen,로이틀링겐
Remscheid,렘샤이트
Saxony-Anhalt,작센안할트 주
Nordrhein-Westfalen,노르트라인베스트팔렌 주
Meissen,마이센
Mecklenburg-Western Pomerania,메클렌부르크포어포메른 주
Plauen,플라우엔
Passau,파사우
Recklinghausen,레클링하우젠
Ratingen,라팅엔
Frankfurt Airport,프랑크푸르트 공항
Munich International Airport,뮌헨 국제공항
Aalen,알렌
Cologne Bonn Airport,쾰른 본 공항
Berlin Brandenburg Airport,베를린 브란덴부르크 공항
Eisleben Lutherstadt,아이슬레벤
Bremen,자유 한자 도시 브레멘
Bernburg,베른부르크
Land Berlin,베를린
Altenburg,알텐부르크
Bad Oeynhausen,바트외인하우젠
Bad Homburg vor der Höhe,바트홈부르크포어데어회에
Aschaffenburg,아샤펜부르크
Stendal,슈텐달
Starnberger See,슈테른베르그 호수
Suhl,줄
Thuringia,튀링겐 자유주
Free and Hanseatic City of Hamburg,자유 한자 도시 함부르크
Hemer,헤머
Dachau,다하우
Cuxhaven,쿡스하펜
Coburg,코부르크
Chiemsee,킴 호
Celle,첼레
Gotha,고타
Friedrichshafen,프리드리히스하펜
Freising,프라이징
Freiberg,프라이베르크
Detmold,데트몰트
Emden,엠덴
Eberswalde,에베르스발데
Düren,뒤렌
Hof,호프
Kleve,클레베
Limburg an der Lahn,림부르크안데어란
Köthen,쾨텐
Neu-Ulm,노이울름
Rheinland-Pfalz,라인란트팔츠주
Saxony,작센 자유주
Saarlouis,자를루이
Saarland,자를란트주
Rottweil,로트바일
Rothenburg ob der Tauber,로텐부르크 오프 데어 타우버
Rosenheim,로젠하임
Nördlingen,뇌르틀링겐
Nordhausen,노르트하우젠
Oranienburg,오라니엔부르크
Neubrandenburg,노이브란덴부르크
Neckarsulm,네카르줄름
Naumburg,나움부르크
Mühlhausen,뮐하우젠
Quedlinburg,크베들린부르크
Prignitz,프리그니츠 군
Hamburg Airport,함부르크 공항
Düsseldorf International Airport,뒤셀도르프 국제공항
Bergen auf Rügen,베르겐아우프뤼겐
Berchtesgaden,베르히테스가덴
Bad Soden am Taunus,바트 조덴
Bad Münstereifel,바트뮌스터아이펠
Starnberg,슈타른베르크
Weil der Stadt,바일데어슈타트
Sinsheim,진스하임
Senftenberg,젠프텐베르크
Herzberg am Harz,헤르츠베르크 암 하르츠
Helgoland,헬골란트 섬
Bückeburg,뷔케부르크
Grimma,그리마
Delitzsch,델리치
Konz,콘츠
Lubin,뤼벤
Neuruppin,노이루핀
Pirmasens,피르마젠스
Ravensburg,라벤스부르크
Rastatt,라슈타트
Europe,유럽
Universität Hamburg,함부르크 대학교
European Central Bank,유럽 중앙은행
Frankfurter Wertpapierbörse,프랑크푸르트 증권거래소
Universität zu Köln,쾰른 대학교
Britz,브리츠
Breinigerberg,브라이니거베르크
Boppard,보파르트
Bitburg,비트부르크
Arkona,케이프 아르코나
Schaumburg,샤움부르크
Sangerhausen,장거하우젠
Syke,쉬케
Soltau,졸타우
Simbach am Inn,짐바흐암인
Traunstein,트라운슈타인
Zoologischer Garten Berlin,베를린 동물원
Havel,하펠 강
Hallstadt,할슈타트
Herzberg,헤르츠베르크
Forst,포르스트
Dohna,도나
Hünfeld,휜펠트
Landstuhl,란트슈툴
Luckenwalde,루켄발데
Montabaur,몬타바우어
Meersburg,메어스부르크
Pfullendorf,풀렌도르프
Perleberg,페를레베르크
Rathenow,라테노프
Regierungsbezirk Stuttgart,슈투트가르트 현
Wartburg,바르트부르크 성
Sanssouci,상수시 궁전
Kölner Dom,쾰른 대성당
Schloss Nymphenburg,님펜부르크 궁전
Berliner Fernsehturm,베를린 텔레비전 송신탑
Technische Universität München,뮌헨 공과대학교
Port of Hamburg,함부르크 항
HafenCity,하펜시티
Ulmer Münster,울름 대성당
Oktoberfest,옥토버페스트
Ravensbrück,라벤스브뤼크 강제 수용소
Berlin Hauptbahnhof,베를린 중앙역
Brobergen,브로베르겐
Beeskow,베스코프
Babelsberg,바벨스베르크
Seelow,젤로
Usedom Island,우제돔 섬
Zeithain,자이틴
Lahn,란 강
Bodensee,보덴 호
Neckar,네카어 강
Bahnhof Neandertal,네안데르탈인
Siegessäule,베를린 전승기념탑
Nürburgring,뉘르부르크링
Berlin Tegel Airport,베를린 테겔 국제공항
Frauenkirche,드레스덴 성모교회
Kunstakademie Düsseldorf,쿤스트아카데미 뒤셀도르프
Alexanderplatz,알렉산더 광장
Heinrich-Heine-Universität Düsseldorf,뒤셀도르프 대학교
Völkerschlachtdenkmal,전승기념비
